date,total,post_id
2023-12-11,3837086,3837086
2023-12-12,3848667,3848667
2023-12-13,3859586,3859586
2023-12-14,3870240,3870240
2023-12-15,3881277,3881277
2023-12-16,3891083,3891083
2023-12-17,3900048,3900048
2023-12-18,3910512,3910512
2023-12-19,3920973,3920973
2023-12-20,3931767,3931767
2023-12-21,3942795,3942795
2023-12-22,3952634,3952634
2023-12-23,3961452,3961452
2023-12-24,3970931,3970931
2023-12-25,3980491,3980491
2023-12-26,3989401,3989401
2023-12-27,3999239,3999239
2023-12-28,4008574,4008574
2023-12-29,4018254,4018254
2023-12-30,4027534,4027534
2023-12-31,4037787,4037787
2024-01-01,4049823,4049823
2024-01-02,4060425,4060425
2024-01-03,4070744,4070744
2024-01-04,4081047,4081047
2024-01-05,4091739,4091739
2024-01-06,4101351,4101351
2024-01-07,4110853,4120811
2024-01-08,4120811,4128203
2024-01-09,4130520,4130520
2024-01-10,4140612,4140612
2024-01-11,4150390,4150390
2024-01-12,4160331,4160331
2024-01-13,4168927,4168927
2024-01-14,4177667,4177667
2024-01-15,4187149,4187149
2024-01-16,4196860,4196860
2024-01-17,4206895,4206895
2024-01-18,4216648,4216648
2024-01-19,4226454,4226454
2024-01-20,4235944,4235944
2024-01-21,4244652,4244652
2024-01-22,4253844,4253844
2024-01-23,4263568,4263568
2024-01-24,4273483,4273483
2024-01-25,4283446,4283446
2024-01-26,4293105,4293105
2024-01-27,4302194,4302194
2024-01-28,4310859,4310859
2024-01-29,4319518,4319518
2024-01-30,4329370,4329370
2024-01-31,4338843,4338843
2024-02-01,4348688,4348688
2024-02-02,4358948,4358948
2024-02-03,4368455,4368455
2024-02-04,4377502,4377502
2024-02-05,4387069,4387069
2024-02-06,4397680,4397680
2024-02-07,4408015,4408015
2024-02-08,4418708,4418708
2024-02-09,4429203,4429203
2024-02-10,4438457,4438457
2024-02-11,4447103,4447103
2024-02-12,4457419,4457419
2024-02-13,4467388,4467388
2024-02-14,4477883,4477883
2024-02-15,4487467,4487467
2024-02-16,4497256,4497256
2024-02-17,4506128,4506128
2024-02-18,4514216,4514216
2024-02-19,4522592,4522592
2024-02-20,4543980,4543980
2024-02-21,4580231,4580231
2024-02-22,4612612,4612612
2024-02-23,4644439,4644439
2024-02-24,4673486,4673486
2024-02-25,4699476,4699476
2024-02-26,4726111,4726111
2024-02-27,4751346,4751346
2024-02-28,4780028,4780028
2024-02-29,4807133,4807133
2024-03-01,4830749,4830749
2024-03-02,4850309,4850309
2024-03-03,4870312,4870312
2024-03-04,4891422,4891422
2024-03-05,4912062,4912062
